champion_a_id,champion_a,champion_b_id,champion_b,games_together,pair_win_rate,appearances_a,win_rate_a,appearances_b,win_rate_b,lift,association,win_surplus_pp,pair
79,Gragas,105,Fizz,214,0.5046728971962616,16380,0.4927960927960928,15675,0.4925677830940989,0.7301336791863108,-0.453767465630323,1.1990959251165778,Gragas + Fizz
3,Galio,876,Lillia,214,0.5467289719626168,21729,0.4927976437019651,11020,0.5013611615245009,0.7828931519837792,-0.3531126706681916,4.96495693493838,Galio + Lillia
5,XinZhao,96,KogMaw,214,0.4672897196261682,18899,0.4894967987724218,8763,0.5188862261782494,1.1319628970947908,0.17882667101909033,-3.6901792849167334,XinZhao + KogMaw
38,Kassadin,83,Yorick,214,0.4672897196261682,20926,0.5142406575551945,10344,0.4902358855375097,0.8660622239055622,-0.20745741301267315,-3.4948551920183926,Kassadin + Yorick
29,Twitch,420,Illaoi,213,0.5117370892018779,26254,0.4982097966024225,6825,0.4949450549450549,1.041337533495681,0.05843777178034562,1.515966342813918,Twitch + Illaoi
33,Rammus,412,Thresh,213,0.5586854460093896,5276,0.5043593631539045,41458,0.5124222104298326,0.8530540019474389,-0.2292910217192346,5.029465921752108,Rammus + Thresh
17,Teemo,360,Samira,213,0.5727699530516432,12762,0.49686569503212663,14475,0.4992055267702936,1.0100720321745338,0.01445818085371325,7.473434215043312,Teemo + Samira
22,Ashe,72,Skarner,213,0.4272300469483568,38326,0.5065229870062099,4963,0.48156357042111625,0.9809613316699397,-0.027731826646236593,-6.681323176530624,Ashe + Skarner
131,Diana,427,Ivern,213,0.5258215962441315,51789,0.5078684662766224,11646,0.5251588528250043,0.3093679701337161,-1.6926042572512419,0.9307936693318197,Diana + Ivern
57,Maokai,950,Naafiri,213,0.4694835680751174,7871,0.4996823783509084,25194,0.5015082956259427,0.94094149562021,-0.08782307076724614,-3.1111768913308135,Maokai + Naafiri
7,Leblanc,893,Aurora,213,0.539906103286385,23079,0.4986784522726288,22162,0.49106578828625574,0.36480746874465264,-1.4547928286232736,4.503398300694272,Leblanc + Aurora
83,Yorick,115,Ziggs,213,0.5258215962441315,10344,0.4902358855375097,15617,0.5081641800601908,1.1550573197421397,0.20796444718750406,2.6621563445281216,Yorick + Ziggs
10,Kayle,41,Gangplank,213,0.5633802816901409,22642,0.5056532108470984,20326,0.507133720358162,0.4054366002692461,-1.3024517627586678,5.698681608751077,Kayle + Gangplank
131,Diana,203,Kindred,213,0.5446009389671361,51789,0.5078684662766224,12940,0.510355486862442,0.2784311731203445,-1.844607350696292,3.5488962397603907,Diana + Kindred
53,Blitzcrank,711,Vex,213,0.5164319248826291,22333,0.4964850221645099,9692,0.5124845233182006,0.8620435116910012,-0.21416740362804862,1.1947152141273842,Blitzcrank + Vex
23,Tryndamere,141,Kayn,213,0.5023474178403756,11563,0.4984865519328894,17598,0.4886918968064553,0.9169714620794386,-0.12505125982072196,0.8758193470703279,Tryndamere + Kayn
53,Blitzcrank,113,Sejuani,213,0.4647887323943662,22333,0.4964850221645099,8375,0.4808358208955224,0.9976030704846787,-0.0034621892965616937,-2.3871689135649965,Blitzcrank + Sejuani
42,Corki,350,Yuumi,213,0.4225352112676056,27809,0.48656909633571865,13969,0.45042594315985396,0.4803291783691799,-1.0579046448173204,-4.5962308480180685,Corki + Yuumi
893,Aurora,895,Nilah,213,0.568075117370892,22162,0.49106578828625574,8127,0.5144579795742587,1.0359777988381738,0.05099308618154712,6.531323344063478,Aurora + Nilah
