source,depth_bucket_num,n,wins,mean_kda,median_kda,mean_damage_per_min,mean_cs_per_min,mean_gold_per_min,history_scope,threshold_minutes,session_depth,win_rate,win_rate_ci_low,win_rate_ci_high
KR,2,23535,12390,3.9123526855944237,2.5,688.1246479361834,5.995970691180242,409.8155755090058,solo420_only,30,2,0.5264499681325685,0.5200671725071746,0.5328241306683885
NA,3,14426,7689,3.9790130063394766,2.5714285714285716,716.8103108775849,6.055265206513823,414.6601487758026,solo420_only,30,3,0.5329959794814918,0.5248469061009289,0.5411274847277425
NA,4,8784,4605,3.9074082076588295,2.5,709.9432984017471,6.056407213244736,414.34416428115344,solo420_only,30,4,0.5242486338797814,0.5137964620788261,0.5346796059062656
NA,6,3873,2051,4.092765407602409,2.5714285714285716,720.1357876220314,6.152027384614433,419.7555944346362,solo420_only,30,6,0.5295636457526465,0.5138227906015072,0.5452459132473368
EU,5,51247,27369,3.8538901034512527,2.5,741.4489224504186,6.232417412935257,426.50609816165905,solo420_only,45,5,0.5340605303725096,0.5297392314354736,0.5383767233592387
NA,2,24802,13000,3.9218295935738605,2.5,708.0588081629165,6.015522672173168,411.7825586964243,solo420_only,45,2,0.524151278122732,0.5179326405934126,0.5303624354671499
KR,3,14231,7485,3.8758644745654167,2.5454545454545454,695.0174251349891,6.023989852130436,411.77234196411075,solo420_only,45,3,0.52596444381983,0.5177547604685115,0.5341601134791765
KR,4,9519,5142,3.8536575934853667,2.5714285714285716,697.4455131723184,6.032266868378947,413.01847700670265,solo420_only,45,4,0.5401827923101166,0.5301567144462548,0.5501764511648776
KR,6,4612,2440,3.732158391569737,2.5,699.0440798706495,6.0560766743806225,413.4238725633805,solo420_only,45,6,0.5290546400693842,0.5146305826850424,0.5434303369524514
EU,3,116136,61358,3.8408555238147044,2.5,731.9766616172204,6.180579209439547,422.94497339803934,solo420_only,45,3,0.5283288558242061,0.5254569444192979,0.5311988932101434
EU,4,75335,39860,3.832677443546762,2.5,736.3270696779962,6.208333222165413,424.98259186238454,solo420_only,45,4,0.5291033384217163,0.5255375752659805,0.5326661336720815
EU,6,35694,18951,3.856092568888344,2.5,739.6921004630962,6.229720496916226,426.87498393061435,solo420_only,45,6,0.530929567994621,0.5257494003049953,0.5361030789981874
NA,7,3103,1635,3.9040525869133393,2.5,707.0282500881241,6.150917638261417,416.64447175179964,solo420_only,45,7,0.5269094424750241,0.5093200132646845,0.5444323272436691
NA,1,46413,24255,3.925631343168327,2.5,704.2960060438694,6.042868241557462,411.1311701143959,solo420_only,45,1,0.5225906534807059,0.5180448017645936,0.5271327659908598
NA,8,9917,5230,3.8898648030188516,2.5,705.0401371573723,6.143632482201672,416.76533330119247,solo420_only,45,8+,0.5273772310174448,0.5175425455761614,0.5371907149293994
KR,5,6576,3525,3.8435086105159795,2.5,699.0146691333855,6.025800926593127,412.5009350673997,solo420_only,45,5,0.5360401459854015,0.5239693032837434,0.5480689065981337
EU,2,191384,100911,3.882706668304851,2.5,728.062588865863,6.139531515347183,421.13385143476995,solo420_only,45,2,0.5272697822179493,0.5250325023334748,0.529505967406495
NA,5,6254,3287,3.938827996121894,2.5714285714285716,707.420388989098,6.056994882246625,415.64758181947064,solo420_only,45,5,0.5255836264790534,0.5131960070996255,0.5379398361629018
KR,1,42258,22267,3.955728055296639,2.6,684.5907660954413,5.975024953817211,408.5226448108724,solo420_only,45,1,0.5269298121065834,0.5221672967302908,0.5316874318247273
KR,7,3242,1733,3.877948776207646,2.5,706.2879187615296,6.133049590243061,415.25694351528085,solo420_only,45,7,0.5345465761875385,0.5173457187292052,0.5516656617839346
KR,8,9704,5188,3.886960658759054,2.5555555555555554,700.5778327848421,6.068670697071391,416.3782395072132,solo420_only,45,8+,0.5346248969497115,0.524688873339302,0.5445335179461892
